ID,mon,stay,freq,plan,purp1,purp2,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad9,ad10,ad_impact1,ad_impact2,ad_impact3,info1,info2,info3,info4,info5,info6,info7,info8,info9,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,type,gs,gus1,gus2,gus3,gus4,gus5,gus6,gus7,gus8,btimes,bprice,local1,local2,local3,local4,local5,slp1,hsat,slp2,bsat,slp3,slp4,slp5,slp6,slp7,prepay,pmoney,pdollar,airf,pit1,pm1,pit2,pm2,pit3,pm3,pit4,pm4,pit5,pm5,pit6,pm6,money,dollar,money1,p1,money1_1,p1_1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,spfav,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,ts,tus1,tus2,tus3,tus4,tus5,tus6,tus7,tus8,tus9,tus10,tus11,tus12,again,agwhy,recom,s11,s12,s13,s14,s21,s22,s23,s31,s32,s33,s34,sall,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,lc,nation,nation_o,resid,resid_o,age,educ,income,occup,gender
2750,6,3,3,15,2,0,9,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,99,9,1,0,0,0,0,1,4,0,9,0,0,0,0,0,1,613,美元,1,1,246,1,153,0,0,0,0,1,31,0,0,1230,新台幣,,,,,820,1,410,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5,0,5,4,0,5,0,5,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,53,53,53,3,3,4,3,2
2751,6,5,1,40,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,99,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,3,0,9,0,0,0,0,0,1,14450,新台幣,0,1,14450,0,0,0,0,0,0,0,0,0,0,18820,新台幣,,,,,6630,1,3060,1,,,,,9130,1,913,2648,0,0,2556,3013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3,5,8,65,67,77,106,112,433,807,808,63,,,,,,,,,,,,,,,,,,,,,,,,77,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,4,4,4,4,4,5,4,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,5,2,3,10,2
2752,6,5,1,20,1,0,1,1,0,0,0,1,0,0,0,0,1,5,10,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,3,9,9,9,9,9,1,3,0,9,0,0,0,0,0,1,8330,港幣,1,1,4076,1,1033,1,560,0,0,1,187,0,0,4230,新台幣,,,,,,,,,,,,,4230,1,0,0,719,0,3511,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,240,273,294,297,311,370,377,385,865,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,5,5,5,5,4,4,4,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,2,2,1,11,2
2753,6,3,2,25,1,0,1,1,1,0,0,1,1,0,0,0,0,5,6,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,1193,美元,1,1,479,1,197,1,119,0,0,1,40,0,0,33290,新台幣,,,,,15300,3,6120,3,2150,3,,,9720,3,4082,0,0,2916,2722,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,5,6,11,51,65,66,67,77,79,145,166,171,801,843,,,,,,,,,,,,,,,,,,,,,843,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,4,5,4,4,5,4,4,4,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,51,51,51,1,2,1,11,2
2754,6,3,1,20,2,0,9,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,634,美元,1,1,253,1,160,0,0,0,0,1,33,0,0,10710,新台幣,,,,,1840,1,3370,1,,,,,5500,1,0,0,0,0,1430,4070,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,4,4,5,5,5,5,5,5,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,2,3,3,1
2755,6,3,3,20,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,23970,新台幣,1,1,7650,0,0,0,0,0,0,0,0,0,0,10890,新台幣,,,,,5920,1,2040,1,,,,,2930,1,0,0,0,0,2930,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,13,52,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,5,4,4,5,5,4,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,2,3,3,1
2756,6,4,1,30,1,0,1,1,1,0,0,1,0,0,0,0,0,5,1,2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,4270,港幣,1,1,1647,1,762,1,457,0,0,1,153,0,0,30050,新台幣,9900,2,"8,340",2,12200,2,1470,2,3660,2,,,2820,2,0,0,0,0,2820,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,5,52,66,108,433,803,808,,,,,,,,,,,,,,,,,,,,,,,,,,,803,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,4,4,3,2,2,5,1
2757,6,2,2,15,4,6,9,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,0,9,0,9,1,0,0,0,0,0,,,,,,,,,,,,,,,,27990,新台幣,,,,,1530,1,2550,1,,,20400,1,3510,1,878,0,0,456,1299,0,386,0,491,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,4,0,4,4,0,5,0,5,0,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,2,4,2,3,5,2
2758,6,4,2,30,1,0,1,1,1,0,0,1,0,0,0,0,0,2,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,37550,新台幣,12240,2,"12,000",2,6630,2,6120,2,6120,2,,,6440,2,0,2898,0,0,3542,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,4,5,8,10,11,13,51,52,330,803,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,4,4,4,5,4,4,4,4,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,1
2759,6,4,1,40,4,1,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,0,9,0,9,1,0,0,0,0,0,,,,,,,,,,,,,,,,6840,新台幣,,,,,4500,1,,,,,,,2340,1,0,0,0,2340,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,16,66,67,73,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,5,0,0,4,3,5,5,5,0,5,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,55,55,55,55,3,1,1,6,2
2760,6,4,1,35,1,0,1,1,1,0,0,1,0,0,0,0,0,1,2,5,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,9,9,9,9,9,9,9,9,99,9,0,0,1,0,0,1,4,0,9,0,0,0,0,0,1,63620,新台幣,1,1,13990,0,0,0,0,1,2550,0,0,0,0,17050,新台幣,,,,,6630,2,2170,2,,,,,8250,2,2392,0,907,0,2145,1898,0,0,908,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,11,65,67,77,101,126,139,147,808,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,5,4,4,5,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,2,2,2,5,2
2761,6,3,2,20,4,1,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,0,9,0,9,1,0,0,0,0,0,,,,,,,,,,,,,,,,13660,新台幣,,,,,3680,1,620,1,,,,,9360,1,3744,0,0,2714,2902,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,66,126,129,133,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,5,5,5,5,5,5,5,5,0,4,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,52,52,52,52,2,2,2,4,2
2762,6,2,3,7,2,0,9,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,14170,新台幣,9760,1,"8,000",1,2920,1,1490,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,1,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5,0,5,5,5,5,0,5,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,4,4,3,6,1,1
2763,6,4,1,180,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,3,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,1566,新加坡元,536,2,536,2,383,2,230,2,153,2,,,264,2,0,0,0,0,185,0,0,0,79,0,0,,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,2,5,24,65,67,77,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,3,5,2,2,3,5,5,5,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,51,51,51,51,2,2,3,4,2
2764,6,6,1,75,1,0,1,0,1,0,1,1,0,0,0,0,0,2,5,4,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,3,4,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,27770,新台幣,1,1,9330,1,3800,1,2840,1,2840,1,950,0,0,6760,新台幣,,,,,1840,1,,,,,,,4920,1,0,0,984,0,2460,0,0,0,1476,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,3,8,37,65,67,69,77,166,181,185,229,235,801,843,17,,,,,,,,,,,,,,,,,,,,235,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,3,3,4,4,4,4,3,4,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,3,3,3,3,3,6,1,8,12,2
2765,6,5,2,70,1,0,1,1,1,0,1,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,9,9,9,9,9,9,9,9,9,99,9,0,0,0,0,1,1,4,1,4,0,0,0,0,0,1,23900,新台幣,0,1,5600,0,0,0,0,1,18300,0,0,0,0,47160,新台幣,17500,2,"6,000",2,11110,2,3660,2,3660,2,4880,2,6350,2,0,0,2095,0,4255,0,0,0,0,0,0,,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,10,66,108,400,801,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,4,4,5,5,4,4,4,4,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,2,4,4,2,2,3,2,1
2766,6,5,1,60,1,0,1,0,1,0,1,1,0,0,0,0,1,2,10,4,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,3,4,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,27660,新台幣,1,1,9630,1,5350,1,3440,0,0,1,1150,0,0,5520,新台幣,,,,,1790,1,510,1,,,,,3220,1,0,0,644,0,2576,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,3,8,42,65,67,77,166,183,185,188,231,235,240,243,253,270,271,280,801,843,865,,,,,,,,,,,,,,185,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,4,4,4,3,4,4,4,5,4,4,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,52,52,52,52,2,1,2,7,2
