name,title
id,樣本編號  (nominal)
mon,配置月  (nominal)
stay,停留夜數  (ratio)
freq,來臺次數  (ratio)
plan,出發之前多久計畫此次行程  (ratio)   以天(day)為單位
ad,是否看過臺灣觀光宣傳廣告
ad1,1.報章雜誌  (ordinal)
ad2,2.地鐵.廣告燈箱.巴士車廂  (ordinal)
ad3,3.電視.電台  (ordinal)
ad4,4.國際旅遊展覽  (ordinal)
ad5,5.戶外廣告或看板  (ordinal)
ad6,6.旅行社宣傳行程.摺頁  (ordinal)
ad7,7.親朋好友來臺口碑宣傳(ordinal)
ad8,8.網際網路  (ordinal)
purp1,此次來臺主要目的  (nominal)
purp2,此次來臺次要目的  (nominal)
att01,1.風光景色  (nominal)
att02,2.購物  (nominal)
att03,3.美食或特色小吃  (nominal)
att04,4.水果  (nominal)
att05,5.花卉  (nominal)
att06,6.距離居住地近  (nominal)
att07,7.氣候宜人  (nominal)
att08,8.歷史文物  (nominal)
att09,9.夜間休閒活動  (nominal)
att10,10.節慶活動  (nominal)
att11,11.遊憩設施(遊樂園…) (nominal)
att12,12.保健醫療  (nominal)
att13,13.臺灣民情風俗和文化  (nominal)
att14,14.人民友善  (nominal)
att15,15.治安良好  (nominal)
att16,16.民主政治
att17,17.公司安排  (nominal)
att18,18.其他  (nominal)
type,旅行方式  (nominal)
s1,行程內容  (ordinal)
s2,住宿地點安排  (ordinal)
s3,交通工具安排(含司機服務) (ordinal)
s4,餐飲安排  (ordinal)
s5,導覽解說水準  (ordinal)
s6,導遊應急處理能力  (ordinal)
s7,導遊整體服務表現  (ordinal)
s8,整體印象  (ordinal)
btimes,旅行社安排的購物次數  (ratio)
bprice,旅行社安排購物的物品價格  (nominal)
local1,1.沒有  (nominal)
local2,2.半日遊  (nominal)
local3,3.1 日遊  (nominal)
local4,4.2 日遊  (nominal)
local5,5.3 日遊以上  (nominal)
prepay,來臺灣之前，是否預付任何費用
pmoney,預付金額  (ratio)
pdollar,幣制(預付金額) (nominal)
airf,預付費是否含機票費  (nominal)
pit1,是否有旅館內預付費  (nominal)
pm1,旅館內預付費  (ratio)
pit2,是否有預付旅館外餐廳費  (nominal)
pm2,旅館外餐廳預付費  (ratio)
pit3,是否有預付在臺境內交通費  (nominal)   0=否，1=是
pm3,在臺境內交通預付費  (ratio)
pit4,是否有預付娛樂費  (nominal)
pm4,預付娛樂費  (ratio)
pit5,是否有預付雜費  (nominal)
pm5,預付雜費  (ratio)
pit6,是否有預付購物費  (nominal)
pm6,預付購物費  (ratio)
money,在我國期間費用  (ratio)
dollar,幣制(在我國期間費用) (nominal)
money1,旅館內支出費(在臺) (ratio)
p1,共同消費人數  (ratio)
money2,旅館外餐飲費(在臺) (ratio)
p2,共同消費人數  (ratio)
money3,境內交通費(在臺) (ratio)
p3,共同消費人數  (ratio)
money4,娛樂費(在臺) (ratio)
p4,共同消費人數  (ratio)
money5,雜費(在臺) (ratio)
p5,共同消費人數  (ratio)
money6,購物費(在臺) (ratio)
p6,共同消費人數  (ratio)
m601,購物費(服飾或相關配件) (ratio)
m602,購物費(珠寶或玉器) (ratio)
m603,購物費(紀念品或手工藝品) (ratio)
m604,購物費(化妝品或香水) (ratio)
m605,購物費(名產或特產) (ratio)
m606,購物費(煙或酒) (ratio)
m607,購物費(中藥健康食品) (ratio)
m608,購物費(電子或電器用品) (ratio)
m609,購物費(茶葉) (ratio)
m610,購物費(其他) (ratio)
utax,是否有使用退稅服務  (nominal)
taxc,覺得退稅手續是否簡便  (nominal)
net1,沒有上網  (nominal)
net2,iTaiwan Free Wi-Fi (nominal)
net3,其他Free Wi-Fi (nominal)
net4,國際漫遊  (nominal)
net5,預付卡(SIM) (nominal)
net5m,購買預付卡金額  (ratio)
n5d,幣制(預付卡) (nominal)
ba5,來臺前或來臺後購買
net6,分享器(Router) (nominal)
net6m,租借分享器金額  (ratio)
n6d,幣制(分享器) (nominal)
ba6,來臺前或來臺後購買
act01,生態旅遊  (nominal)
act02,運動或賽事  (nominal)
act03,泡溫泉浴  (nominal)
act04,拍婚紗或個人藝術照  (nominal)
act05,參觀展覽  (nominal)
act06,參觀藝文表演活動  (nominal)
act07,參觀節慶活動  (nominal)
act08,購物  (nominal)
act09,逛夜市  (nominal)
act10,參觀古蹟  (nominal)
act11,SPA.三溫暖  (nominal)
act12,按摩.指壓  (nominal)
act13,護膚.美容.彩繪指甲  (nominal)
act14,卡拉OK或唱KTV (nominal)
act15,夜總會.PUB活動  (nominal)
act16,遊湖  (nominal)
act17,主題樂園  (nominal)
act18,保健醫療  (nominal)
act19,其他  (nominal)
sp01,去過的景點
sp02,去過的景點
sp03,去過的景點
sp04,去過的景點
sp05,去過的景點
sp06,去過的景點
sp07,去過的景點
sp08,去過的景點
sp09,去過的景點
sp10,去過的景點
sp11,去過的景點
sp12,去過的景點
sp13,去過的景點
sp14,去過的景點
sp15,去過的景點
spfav,最喜歡景點  (nominal)
spleas,最不喜歡景點  (nominal)
ts01,高鐵  (ordinal)
ts02,臺鐵  (ordinal)
ts03,捷運  (ordinal)
ts04,飛機  (ordinal)
ts05,遊覽車  (ordinal)
ts06,台灣觀巴  (ordinal)
ts07,公、民營客運  (ordinal)
ts08,計程車  (ordinal)
ts09,船舶  (ordinal)
ts10,台灣好行  (ordinal)
ts11,"公共自行車(如YouBike, c-bike等)"
slp1,1.旅館  (nominal)
htype,旅館類型  (nominal)
hstar,旅館星級  (nominal)
hsat,旅館整體滿意度  (ordinal)
slp2,2.民宿  (nominal)
msat,民宿整體滿意度  (ordinal)
slp3,3.親友家  (nominal)
slp4,4.宿舍  (nominal)
slp5,5.租屋  (nominal)
slp6,6.寺廟.修道院.教會  (nominal)
slp7,7.其他  (nominal)
again,是否再來我國旅遊  (nominal)
agwhy,會再度來臺的主要原因  (nominal)
recom,是否會推薦親友來臺灣旅遊  (nominal)
s11,1.取得台灣簽證快速  (ordinal)
s12,2.來臺交通便利  (ordinal)
s13,3.通訊設備便利  (ordinal)
s13a,4.使用  iTaiwan Free WiFi  便利(ordinal)
s14,4.旅遊資訊取得方便  (ordinal)
s15,5.境內交通便利  (ordinal)
s16,6.入關驗證手續便利  (ordinal)
s17,7.海關通關手續便利  (ordinal)
s21,1.路標及公共設施牌示易懂(ordinal)
s22,2.旅遊環境語言溝通良好  (ordinal)
s23,3.臺灣民眾態度友善  (ordinal)
s31,1.遊憩據點設施安全  (ordinal)
s32,2.設施治安良好  (ordinal)
s33,3.住宿設施良好  (ordinal)
s34,4.環境衛生良好  (ordinal)
s35,5.餐飲衛生良好  (ordinal)
sall,此次來臺整體滿意程度  (ordinal)
country,最喜歡國家/地區  (nominal)
g01,風光景色  (nominal)
g02,購物  (nominal)
g03,美食或特色小吃  (nominal)
g04,水果  (nominal)
g05,花卉  (nominal)
g06,距離居住地近  (nominal)
g07,氣候宜人  (nominal)
g08,歷史文物  (nominal)
g09,夜間休閒活動  (nominal)
g10,參觀節慶活動  (nominal)
g11,遊憩設施(遊樂園…) (nominal)
g12,保健醫療  (nominal)
g13,民情風俗和文化  (nominal)
g14,人民友善  (nominal)
g15,治安良好  (nominal)
g16,民主政治  (nominal)
g17,其他  (nominal)
b01,風光景色  (nominal)
b02,購物  (nominal)
b03,美食或特色小吃  (nominal)
b04,水果  (nominal)
b05,花卉  (nominal)
b06,距離居住地近  (nominal)
b07,氣候宜人  (nominal)
b08,歷史文物  (nominal)
b09,夜間休閒活動  (nominal)
b10,參觀節慶活動  (nominal)
b11,遊憩設施(遊樂園…) (nominal)
b12,保健醫療  (nominal)
b13,民情風俗和文化  (nominal)
