name,title
b14,人民友善  (nominal)
b15,治安良好  (nominal)
b16,民主政治  (nominal)
b17,其他  (nominal)
i01,美味菜餚  (nominal)
i02,海岸風光  (nominal)
i03,泡溫泉  (nominal)
i04,歷史古蹟  (nominal)
i05,逛夜市  (nominal)
i06,單車賞景  (nominal)
i07,地方特產  (nominal)
i08,寺廟參訪  (nominal)
i09,都會不夜城  (nominal)
i10,原住民文化  (nominal)
i11,美容醫療  (nominal)
i12,人情味濃厚  (nominal)
i13,24 小時書店  (nominal)
i14,便利商店  (nominal)
i15,水果  (nominal)
i16,節慶活動  (nominal)
i17,景點  (nominal)
i18,旅館(或民宿)住宿體驗  (nominal)
i19,其他  (nominal)
nation,國籍  (nominal)
resid,居住地  (nominal)
city,設籍城市  (nominal)
age,年齡  (ordinal)
income,年收入(美元) (ordinal)
educ,最高學歷  (ordinal)
occup,工作別  (nominal)
gender,性別  (nominal)
religion,宗教信仰  (nominal)
area,調查區  (nominal)
nation_o,國籍_原始  (nominal)
resid_o,居住地_原始(nominal)
