name,title
cc2,(2)旅遊天數(nominal)
cc3,(3)旅遊方式(nominal)
cc4,(4)住宿方式(nominal)
cc5,(5)餐飲方式(nominal)
cc6,(6)出遊地點選擇(nominal)
cc7,(7)其他(nominal)
pr,遵守臺灣防疫規定的看法(ordinal)
nation,國籍(nominal)
nation_o,國籍_原始(nominal)
resid,居住地(國家/地區)(nominal)
resid_o,居住地(國家/地區)_原始(nominal)
age,年齡(nominal)
educ,最高學歷(nominal)
income,年收入(美元)(nominal)
occup,工作別(nominal)
gender,性別(nominal)
religion,宗教信仰(nominal)
